,Application Name,Category,Sub-category,Description,URL,Download
74,Fadr,🚀 Music Composition,Music Composition,Description non disponible,https://fadr.com/,
77,Flowmachines,🗂️ Other,Autres,Description non disponible,https://www.flow-machines.com/,
92,LifeScore,🗂️ Other,Autres,Description non disponible,https://www.lifescoremusic.com/,
93,Loudly AI Studio,🚀 Music Composition,Music Composition,Description non disponible,https://www.loudly.com/aimusicstudio/,
94,Lyric Studio,🚀 Music Composition,Génération de Paroles,Description non disponible,https://lyricstudio.net/songs,
4,AIVA,🚀 Music Composition,Music Composition,IA spécialisée dans la composition de pièces musicales orchestrales et contemporaines.,https://www.aiva.ai/,https://www.aiva.ai/download
96,Magenta Studio,🚀 Music Composition,Music Composition,Description non disponible,https://magenta.tensorflow.org,
101,Melody Sauce,🗂️ Other,Autres,Description non disponible,https://www.evabeat.com,https://www.evabeat.com/download
124,Splice,🗂️ Other,Autres,Description non disponible,splice.com/sounds/create,https://splice.com/download
104,MIDIjourney: groove and pitch,🗂️ Other,Autres,Description non disponible,https://github.com/korus-labs/MIDIjourney#midijourney-your-gps-for-groove-and-pitch,
107,Mixit: Sing & Create Covers,🗂️ Other,Autres,Description non disponible,https://apps.apple.com/us/app/mixit-sing-create-covers/id1533040232,
6,Amper (shuttered),🗂️ Other,Autres,Description non disponible,https://www.ampermusic.com/,
5,Amadeus Code,🚀 Music Composition,Music Composition,Description non disponible,https://amadeuscode.com/,https://apps.apple.com/us/app/amadeus-code/id1336116226
118,Soundful,🚀 Music Composition,Music Composition,Générateur de musique personnalisée basé sur l'IA pour créateurs de contenu.,https://soundful.com,
119,SoundRaw,🗂️ Other,Autres,Description non disponible,https://soundraw.io/,
91,Lemonaide Seeds,🚀 Music Composition,Music Composition,Description non disponible,https://www.lemonaide.ai/,
95,Lyric Studio - Rap Rhyme Maker,🚀 Music Composition,Génération de Paroles,Description non disponible,https://apps.apple.com/us/app/lyric-studio-rap-rhyme-maker/id1600316328,
66,Delphos,🚀 Music Composition,Music Composition,Description non disponible,https://delphos.ai/,
23,BrainRap,🗂️ Other,Autres,Description non disponible,https://brainrap.live/,
58,Cassette,🗂️ Other,Autres,Description non disponible,https://cassetteai.com/,
20,Beatoven,🗂️ Other,Autres,Description non disponible,https://www.beatoven.ai/,
56,Captain Chords,🚀 Music Composition,Music Composition,Plugin pour générer des progressions d'accords et explorer différentes tonalités.,https://mixedinkey.com/captain-plugins/captain-chords/,https://mixedinkey.com/captain-plugins/download/
21,Boomy,🚀 Music Composition,Music Composition,Crée des chansons rapidement avec l'IA et permet la distribution sur des plateformes de streaming.,https://boomy.com/,https://boomy.com/download
27,AIVA,🚀 Music Composition,Music Composition,IA spécialisée dans la composition de pièces musicales orchestrales et contemporaines.,https://www.aiva.ai/,https://www.aiva.ai/download
111,SampleBrain,🎵 Audio Processing,Synthèse Audio,Description non disponible,https://gitlab.com/then-try-this/samplebrain,
110,SALMONN,🚀 Music Composition,Audio en Texte,Description non disponible,https://replicate.com/nateraw/salmonn,
109,RoEx,🎵 Audio Processing,Mixing and Mastering,Description non disponible,https://www.roexaudio.com/,
31,Choon,🗂️ Other,Autres,Description non disponible,,
106,MixaudioDJ: Text2Music,🗂️ Other,Autres,Description non disponible,https://apps.apple.com/us/app/mixaudiodj-text2music/id6455889165,
15,AudioStellar,🎵 Audio Processing,Sound/Sample Search,Description non disponible,https://audiostellar.xyz/,
35,Gala Music,🎧 Immersive Experiences,Immersive Music Experiences,Description non disponible,,
30,Boomy,🚀 Music Composition,Music Composition,Crée des chansons rapidement avec l'IA et permet la distribution sur des plateformes de streaming.,https://boomy.com/,https://boomy.com/download
102,Melody Studio,🗂️ Other,Autres,Description non disponible,https://app.melodystudio.net/songs/,
36,Kowl,🗂️ Other,Autres,Description non disponible,,
100,Melodia,🎵 Audio Processing,Sound/Sample Search,Description non disponible,https://www.melodia.io/,
99,Mayk.it,🎵 Audio Processing,Timbre Transfer,Description non disponible,https://www.mayk.it/,
105,Mix.Audio,🚀 Music Composition,Music Composition,Description non disponible,https://mix.audio/home,
113,Singify,🎵 Audio Processing,Source Separation,Description non disponible,https://singify.fineshare.com/,
116,Somms.ai,🗂️ Other,Autres,Description non disponible,https://somms.ai/,
115,SOLARIA,🎵 Audio Processing,Voice Synthesis,Description non disponible,https://www.eclipsedsounds.com/solaria,
98,Mawf,🎵 Audio Processing,Synthèse Audio,Description non disponible,https://mawf.io/,
117,Songmastr,🎵 Audio Processing,Mixing and Mastering,Service en ligne de mastering automatique avec des résultats instantanés.,https://www.songmastr.com/,
120,Sounds Studio,🎵 Audio Processing,Synthèse Audio,Description non disponible,https://sounds.studio/,
121,Soundverse,🚀 Music Composition,Music Composition,"Plateforme intégrant IA pour générer de la musique, des paroles et mixer des pistes.",https://www.soundverse.ai/,
122,Spindrop,🎵 Audio Processing,Sound/Sample Search,Description non disponible,https://apps.apple.com/us/app/spindrop/id968488289,
123,Splash,🗂️ Other,Autres,Description non disponible,https://www.splashmusic.com/,
16,AUX,🗂️ Other,Autres,Description non disponible,https://aux.app/,
126,Stable Audio,🎵 Audio Processing,Synthèse Audio,Description non disponible,https://stableaudio.com/,
127,Staccatto,🚀 Music Composition,Génération de Paroles,Description non disponible,https://staccato.ai/,
22,Botnik,🗂️ Other,Autres,Description non disponible,https://botnik.org/,
2,Aimi,🗂️ Other,Autres,Description non disponible,https://www.aimi.fm/,
114,Smart:bundle,🎵 Audio Processing,Mixing and Mastering,Suite de plugins intelligents pour le mixage et le mastering audio automatisé.,https://www.sonible.com/smartbundle/,
60,Controlla.xyz,🎵 Audio Processing,Timbre Transfer,Description non disponible,https://voice.controlla.xyz/,https://voice.controlla.xyz/download
97,Masterchannel.ai,🗂️ Other,Autres,Description non disponible,https://masterchannel.ai,
39,Musicfy.lol,🌐 Blockchain-Based Platforms,Rights Management via Blockchain,Description non disponible,,
51,Traxx,🗂️ Other,Autres,Description non disponible,,
52,Tunedly,🗂️ Other,Autres,Description non disponible,,
75,FAST Limiter,🎵 Audio Processing,Mixing and Mastering,Description non disponible,https://collective.focusrite.com/products/fast-limiter,
53,Tune.FM,🌐 Blockchain-Based Platforms,Music and Royalty Distribution via Blockchain,Description non disponible,,
10,Audacity,🗂️ Other,Autres,Description non disponible,https://www.audacityteam.org/,https://www.audacityteam.org/download/
54,Ujo Music,🗂️ Other,Autres,Description non disponible,,
78,Futureverse,🎵 Audio Processing,Music Production,Description non disponible,https://www.futureverse.com/,
71,Emvoice,🎵 Audio Processing,Voice Synthesis,Description non disponible,https://emvoiceapp.com/,
69,DynaScore,🗂️ Other,Autres,Description non disponible,https://www.wonder.inc/,
68,Dream Track,🗂️ Other,Autres,Description non disponible,https://blog.youtube/inside-youtube/ai-and-music-experiment/,
67,Diktatorial Suite,🗂️ Other,Autres,Description non disponible,https://diktatorial.com/,
132,Supertone Clear,🎵 Audio Processing,Source Separation,Description non disponible,https://product.supertone.ai/clear,https://product.supertone.ai/clear#download
55,Viberate,🗂️ Other,Autres,Description non disponible,,
57,Casperaki.ai,🗂️ Other,Autres,Description non disponible,https://sanmarino.casperaki.com/,
70,Emergent Drums,🎵 Audio Processing,Synthèse Audio,Description non disponible,https://audialab.com/,
37,LimeWire,🌐 Blockchain-Based Platforms,Streaming Musical avec NFT,Description non disponible,,
50,Stage,🎧 Immersive Experiences,Immersive Music Experiences,Description non disponible,,
81,Harmix,🎵 Audio Processing,Audio Analysis and Metadata,Description non disponible,www.harmix.ai,
40,Musical Blockchain,🗂️ Other,Autres,Description non disponible,,
41,Mycelia,🌐 Blockchain-Based Platforms,Blockchain pour l'Industrie Musicale,Description non disponible,,
43,Opulous,🌐 Blockchain-Based Platforms,Investissement Musical via Blockchain,"Plateforme de financement et de prêts pour musiciens, garantis par des actifs musicaux.",,
90,LANDR Mastering Plugin,🎵 Audio Processing,Mixing and Mastering,Plugin DAW offrant un mastering automatique de qualité professionnelle.,https://www.landr.com/plugins/mastering-plugin,
89,Lalals,🎵 Audio Processing,Timbre Transfer,Description non disponible,https://lalals.com/,https://lalals.com/download
80,Global Copyright Exchange,🔗 Rights Management,Rights Management via Blockchain,Description non disponible,https://www.gcx.co/,
46,Resonate,🌐 Blockchain-Based Platforms,Decentralized Streaming,Description non disponible,,
44,Opus,🌐 Blockchain-Based Platforms,Decentralized Streaming,Description non disponible,,
86,Kits.ai,🗂️ Other,Autres,Description non disponible,https://www.kits.ai/,
85,Infinite Drum Machine,🗂️ Other,Autres,Description non disponible,https://experiments.withgoogle.com/ai/drum-machine/view/,
83,Hydra,🗂️ Other,Autres,Description non disponible,https://rightsify.com/hydra/,
82,Hooky,🗂️ Other,Autres,Description non disponible,https://www.hooky.co/,
17,BandLab SongStarter,🗂️ Other,Autres,Description non disponible,https://www.bandlab.com/songstarter,
33,Dot Blockchain Music,🌐 Blockchain-Based Platforms,Blockchain pour l'Industrie Musicale,Description non disponible,,
49,SphereTrax,🗂️ Other,Autres,Description non disponible,,
29,Blokur,🌐 Blockchain-Based Platforms,Rights Management via Blockchain,Description non disponible,,
42,OnChain Music,🌐 Blockchain-Based Platforms,Music and Royalty Distribution via Blockchain,Description non disponible,,
32,Digimarc,🔗 Rights Management,Rights Management via Blockchain,Description non disponible,,
